hotel,auteur,n_avis,score_moy,score_max,centralite
BW_Litteraire_Marcel_Ayme,L S,1,0.2647139988065844,0.2647139988065844,0.2553347280334728
BW_Litteraire_Marcel_Ayme,Lovisa Sandberg,1,0.2643709279498696,0.2643709279498696,0.2540794979079498
BW_Litteraire_Marcel_Ayme,5Raph5,1,0.2640355098210012,0.2640355098210012,0.2521966527196653
BW_Litteraire_Marcel_Ayme,Andreas Wahlen,1,0.2633367277212433,0.2633367277212433,0.25
BW_Litteraire_Marcel_Ayme,Françoise Ziegler,1,0.2628084651316998,0.2628084651316998,0.24748953974895396
BW_Litteraire_Marcel_Ayme,Nikolas Varga,1,0.2624894300129203,0.2624894300129203,0.24717573221757322
BW_Litteraire_Marcel_Ayme,Alizen,1,0.2620170904091704,0.2620170904091704,0.24497907949790795
BW_Litteraire_Marcel_Ayme,Ju Ju,1,0.2614901090685403,0.2614901090685403,0.24341004184100418
BW_Litteraire_Marcel_Ayme,Jean-Michel SERRA,1,0.2604129093204945,0.2604129093204945,0.24246861924686192
BW_Litteraire_Marcel_Ayme,Thomas V,1,0.2597017325438769,0.2597017325438769,0.24089958158995817
BW_Litteraire_Marcel_Ayme,Ilda Coutinho,1,0.2595216543309533,0.2595216543309533,0.2405857740585774
BW_Litteraire_Marcel_Ayme,Giacomo Mascia,1,0.2589669351530945,0.2589669351530945,0.2377615062761506
BW_Litteraire_Marcel_Ayme,Lucien Bissoudre,1,0.2588857350916709,0.2588857350916709,0.23744769874476987
BW_Litteraire_Marcel_Ayme,KSBEDE,1,0.2579141016299235,0.2579141016299235,0.2346234309623431
BW_Litteraire_Marcel_Ayme,Cloud Winter,1,0.2572952978415118,0.2572952978415118,0.23368200836820086
BW_Litteraire_Marcel_Ayme,Birgit K.,1,0.2572350666757665,0.2572350666757665,0.23336820083682008
BW_Litteraire_Marcel_Ayme,Antonio Lois Pèrez,1,0.2563045769484631,0.2563045769484631,0.23085774058577407
BW_Litteraire_Marcel_Ayme,anais peignon,1,0.25555568950407,0.25555568950407,0.22960251046025104
BW_Litteraire_Marcel_Ayme,Ahmed Bani Saad,1,0.255293601718033,0.255293601718033,0.2292887029288703
BW_Litteraire_Marcel_Ayme,Sonia Reymond,1,0.2543173817394292,0.2543173817394292,0.2280334728033473
BW_Litteraire_Marcel_Ayme,Alice Timken,1,0.25267959574219,0.25267959574219,0.22489539748953974
BW_Litteraire_Marcel_Ayme,Caterina Sani,1,0.2524897026957339,0.2524897026957339,0.22395397489539748
BW_Litteraire_Marcel_Ayme,Roland Gilgen,1,0.2521903126680879,0.2521903126680879,0.223326359832636
BW_Litteraire_Marcel_Ayme,Jtro Blanc,1,0.2497777236192188,0.2497777236192188,0.21830543933054394
BW_Litteraire_Marcel_Ayme,Galina,1,0.2493766583468256,0.2493766583468256,0.21705020920502094
BW_Litteraire_Marcel_Ayme,Franck D,1,0.2493016304061533,0.2493016304061533,0.21642259414225942
BW_Litteraire_Marcel_Ayme,Patrice Vialar,1,0.2490887217897281,0.2490887217897281,0.21548117154811716
BW_Litteraire_Marcel_Ayme,David B (“LegitAce”),1,0.2478227984004324,0.2478227984004324,0.21359832635983264
BW_Litteraire_Marcel_Ayme,Simona P.,1,0.2472000566617714,0.2472000566617714,0.21234309623430964
BW_Litteraire_Marcel_Ayme,Christophe Buton,1,0.2470495300929479,0.2470495300929479,0.21202928870292886
BW_Litteraire_Marcel_Ayme,Pascaline Iwa,1,0.2465911490622578,0.2465911490622578,0.2110878661087866
BW_Litteraire_Marcel_Ayme,francesco di bari,1,0.2451320103091467,0.2451320103091467,0.20826359832635982
BW_Litteraire_Marcel_Ayme,luigi la gatta,1,0.2443630875649482,0.2443630875649482,0.2063807531380753
BW_Litteraire_Marcel_Ayme,Dmitry Larionov,1,0.2420447091177807,0.2420447091177807,0.20355648535564852
BW_Litteraire_Marcel_Ayme,Laureline Blg,1,0.2385707297483031,0.2385707297483031,0.20041841004184102
BW_Litteraire_Marcel_Ayme,Salem Laasmi,1,0.2375179800090497,0.2375179800090497,0.19947698744769876
BW_Litteraire_Marcel_Ayme,NICOLAS VAULLERIN,1,0.2360732249936979,0.2360732249936979,0.19790794979079498
BW_Litteraire_Marcel_Ayme,Andy Ward,1,0.2358636996444607,0.2358636996444607,0.19728033472803347
BW_Litteraire_Marcel_Ayme,Niall B,1,0.2355692203871744,0.2355692203871744,0.19665271966527198
BW_Litteraire_Marcel_Ayme,Mashhour Alqahtani,1,0.2285232768680715,0.2285232768680715,0.1932008368200837
BW_Litteraire_Marcel_Ayme,Franck Fauquenoy,1,0.223130274489824,0.223130274489824,0.19006276150627616
BW_Litteraire_Marcel_Ayme,Kim Meisner,1,0.2222406263080338,0.2222406263080338,0.18943514644351464
BW_Litteraire_Marcel_Ayme,jacky michel,1,0.2189449660399789,0.2189449660399789,0.1884937238493724
BW_Litteraire_Marcel_Ayme,Eduardo Santos,1,0.2187109879604481,0.2187109879604481,0.18817991631799164
BW_Litteraire_Marcel_Ayme,Michael Klose,1,0.2179107526468688,0.2179107526468688,0.18723849372384938
BW_Litteraire_Marcel_Ayme,Thibaud H.,1,0.207030854659211,0.207030854659211,0.1837866108786611
BW_Litteraire_Marcel_Ayme,Youssef lakrouf,1,0.1199457981835299,0.1199457981835299,0.17374476987447698
BW_Litteraire_Marcel_Ayme,lorke,1,0.1194586380410258,0.1194586380410258,0.17343096234309624
BW_Litteraire_Marcel_Ayme,Lena Sundermann,1,0.105866438420839,0.105866438420839,0.1696652719665272
BW_Litteraire_Marcel_Ayme,M.Antonieta Gil López,1,0.10551414361805,0.10551414361805,0.16935146443514645
BW_Litteraire_Marcel_Ayme,Marton Novak,1,0.1052569128163484,0.1052569128163484,0.1690376569037657
BW_Litteraire_Marcel_Ayme,642mirkot,1,0.1043311926895634,0.1043311926895634,0.16809623430962345
BW_Litteraire_Marcel_Ayme,Lionel Gefflot,1,0.1000731122220468,0.1000731122220468,0.1655857740585774
BW_Litteraire_Marcel_Ayme,Meander54450298097,1,0.0996994837776568,0.0996994837776568,0.1649581589958159
BW_Litteraire_Marcel_Ayme,Denis Valenti,1,0.0956545379297522,0.0956545379297522,0.1624476987447699
BW_Litteraire_Marcel_Ayme,Marc Fouquet,1,0.0907314095332922,0.0907314095332922,0.15836820083682007
BW_Litteraire_Marcel_Ayme,youssef ferdaouss,1,0.0887141304428641,0.0887141304428641,0.15711297071129707
BW_Litteraire_Marcel_Ayme,Feliseti Von No,1,0.0866503014165795,0.0866503014165795,0.15460251046025106
BW_Litteraire_Marcel_Ayme,RAFAT BISMARK AHMED,1,0.0843783969844913,0.0843783969844913,0.1524058577405858
BW_Litteraire_Marcel_Ayme,Paula Ostrowska,1,0.0839590703336547,0.0839590703336547,0.15209205020920502
BW_Litteraire_Marcel_Ayme,Gianna Zurlo,1,0.0839409353348531,0.0839409353348531,0.15177824267782428
BW_Litteraire_Marcel_Ayme,jason lawrence,1,0.0828209063578728,0.0828209063578728,0.15083682008368202
BW_Litteraire_Marcel_Ayme,Annesofie S,1,0.0826575284992324,0.0826575284992324,0.1502092050209205
BW_Litteraire_Marcel_Ayme,Alexandre Cote,1,0.0799394658314953,0.0799394658314953,0.1461297071129707
BW_Litteraire_Marcel_Ayme,amir gerami,1,0.077309396452154,0.077309396452154,0.1429916317991632
BW_Litteraire_Marcel_Ayme,ChristineSimone152,1,0.0762275346559881,0.0762275346559881,0.14205020920502093
BW_Litteraire_Marcel_Ayme,victoriatschan1,1,0.0743283692625363,0.0743283692625363,0.14048117154811715
BW_Litteraire_Marcel_Ayme,Diane Rostoucher,1,0.0718020444725539,0.0718020444725539,0.13702928870292888
BW_Litteraire_Marcel_Ayme,Charles Buechele,1,0.0707669832836733,0.0707669832836733,0.13608786610878662
BW_Litteraire_Marcel_Ayme,labo cop,1,0.0707014203892984,0.0707014203892984,0.13577405857740588
BW_Litteraire_Marcel_Ayme,Isabelle Gallioz,1,0.0706077402366976,0.0706077402366976,0.1354602510460251
BW_Litteraire_Marcel_Ayme,Jose Fco Romero,1,0.0705326773142151,0.0705326773142151,0.13514644351464436
BW_Litteraire_Marcel_Ayme,Assel Galiyeva,1,0.0703748513042761,0.0703748513042761,0.13483263598326362
BW_Litteraire_Marcel_Ayme,Ryen1989,1,0.0701064219403462,0.0701064219403462,0.13451882845188284
BW_Litteraire_Marcel_Ayme,Kotoffey,1,0.0692916275517776,0.0692916275517776,0.13357740585774058
BW_Litteraire_Marcel_Ayme,Nicola Melicchio,1,0.068516223638917,0.068516223638917,0.1329497907949791
BW_Litteraire_Marcel_Ayme,joan careta cano,1,0.0679183027753908,0.0679183027753908,0.13106694560669457
BW_Litteraire_Marcel_Ayme,Maria Khachaturyan,1,0.0669780293568819,0.0669780293568819,0.1294979079497908
BW_Litteraire_Marcel_Ayme,Jakob F.,1,0.0647321361914594,0.0647321361914594,0.12698744769874476
BW_Litteraire_Marcel_Ayme,Trip.com Member,1,0.0572090444053478,0.0572090444053478,0.12133891213389122
BW_Litteraire_Marcel_Ayme,Sascha Thi,1,0.0486765971799026,0.0486765971799026,0.11725941422594142
BW_Litteraire_Marcel_Ayme,Carle Paul,1,0.0486423506922144,0.0486423506922144,0.11694560669456067
BW_Litteraire_Marcel_Ayme,Markus,1,0.0439039719232123,0.0439039719232123,0.1153765690376569
BW_Litteraire_Marcel_Ayme,Stephen Kemp,1,0.0426905856663571,0.0426905856663571,0.11380753138075314
BW_Litteraire_Marcel_Ayme,Stef Glaisse,1,0.0374107921631899,0.0374107921631899,0.1100418410041841
BW_Litteraire_Marcel_Ayme,Anthony de Volder,1,0.0373325576401351,0.0373325576401351,0.1094142259414226
BW_Litteraire_Marcel_Ayme,Goca Cuturic,1,0.0364446778965815,0.0364446778965815,0.10784518828451883
BW_Litteraire_Marcel_Ayme,Hélio Gabale,1,0.022593988330374,0.022593988330374,0.10470711297071131
BW_Litteraire_Marcel_Ayme,thierry hauet,1,0.0213208632563039,0.0213208632563039,0.10439330543933055
BW_Litteraire_Marcel_Ayme,Maristélio da Cruz Costa,1,0.0121215545431381,0.0121215545431381,0.10188284518828453
BW_Litteraire_Marcel_Ayme,Tara Biasin,1,0.0108877030827488,0.0108877030827488,0.10125523012552302
BW_Ronceray_Opera,Kevin R,1,0.7486811596779617,0.7486811596779617,0.7
BW_Ronceray_Opera,Lucas Guilherme Gouveia,1,0.7250702205405829,0.7250702205405829,0.6996861924686192
BW_Ronceray_Opera,ΘΑΝΑΣΗΣ ΜΙΣΧΟΣ,1,0.6753779759143882,0.6753779759143882,0.6993723849372384
BW_Ronceray_Opera,Amadeo Romaguera,1,0.6452051311993799,0.6452051311993799,0.6990585774058578
BW_Ronceray_Opera,Marie MILJKOVIC,1,0.6390473853640737,0.6390473853640737,0.698744769874477
BW_Ronceray_Opera,Angela Miller,1,0.6381706808292216,0.6381706808292216,0.6984309623430962
BW_Ronceray_Opera,Frans Tijssen,1,0.6228164380785783,0.6228164380785783,0.6981171548117154
BW_Ronceray_Opera,Emma Lester,1,0.6210914676424903,0.6210914676424903,0.6978033472803347
BW_Ronceray_Opera,Osvaldo Biondi,1,0.6096776385721859,0.6096776385721859,0.697489539748954
BW_Ronceray_Opera,안예원,1,0.6087630788673358,0.6087630788673358,0.6971757322175732
BW_Ronceray_Opera,Petra's Coaching,1,0.6049091766231779,0.6049091766231779,0.6968619246861923
BW_Ronceray_Opera,Luis Carlos Lozano,1,0.6048899755501222,0.6048899755501222,0.6965481171548117
